topic_no,topic_words,word_weights
0,"job,local,work,free_trade,company,high,foreigner,foreign,salary,singaporean,pay,pass,ministry_manpower,hire,find,employ,pmet,position,university,education,lose,experience,skill,worker,cheap,low,graduate,create,apply,student","0.10088206086804136,0.06162743150884981,0.037210117413400315,0.030083532916642328,0.027688533208715463,0.02605292365208248,0.024066826333313862,0.0162684736257959,0.015333839593434196,0.014486827501606403,0.013143291080086454,0.012179449734213447,0.011770547345055202,0.011186401074829138,0.010164145101933524,0.009988901220865706,0.009784450026286582,0.009258718383083123,0.008966645247970091,0.008353291664232723,0.008294877037210118,0.008061218529119691,0.007915181961563175,0.007885974648051873,0.007827560021029266,0.006951340615690168,0.006834511361644956,0.006221157777907588,0.006045913896839769,0.0056370115076815235"
1,"money,hard,child,end,buy,day,family,start,friend,earn,poor,food,rich,bully,land,care,treat,waste,enjoy,free,face,stay,condo,person,kid,song,school,wake,spend,remember","0.03460607973072473,0.015181795869710038,0.013744258616458048,0.012201535710529085,0.012131411942077766,0.011956102520949476,0.01167560744714421,0.011149679183759335,0.011044493531082361,0.010869184109954069,0.007888923950773114,0.007678552645419165,0.007538305108516532,0.007503243224290874,0.0071876862662599485,0.0070474387293573155,0.006942253076680341,0.006907191192454682,0.006872129308229024,0.006802005539777708,0.006802005539777708,0.006626696118649416,0.006626696118649416,0.006591634234423758,0.00634620104484415,0.006311139160618492,0.006311139160618492,0.006241015392167175,0.006205953507941517,0.006100767855264542"
2,"singapore,india,indian,singaporean,case,permanent_resident,work,ceca,national,bank,return,long,arrive,invest,video,family_member,db,term,short_term_pass_holder,benefit,air,relative,compare,temasek,total,incident,dependant_pass_holder_arrive,notice,terminate,child","0.20175782526302033,0.14758544076324903,0.09903286937201856,0.08629026988172254,0.04750702476638568,0.02643272560935764,0.024047572371430438,0.01767627262628243,0.017186172645886427,0.013886166111220023,0.010782199568712018,0.009442592955629615,0.009279226295497614,0.008299026334705613,0.008233679670652813,0.008037639678494413,0.007743579690256812,0.007351499705940011,0.00643664640920081,0.005031693132065608,0.004476246487616807,0.003888126511141606,0.003888126511141606,0.003855453179115206,0.003724759851009606,0.003626739854930406,0.0035287198588512055,0.0034960465268248056,0.0033653531987192053,0.003300006534666405"
3,"vote,citizen,pap,government,pay,change,live,hope,care,leave,stop,cpf,policy,low,citizenship,life,suffer,useless,vto,taxi,complain,hdb,trust,kick,increase,tax,simple,price,cost,election","0.06624177201964267,0.06282868387141713,0.0587190471215129,0.03218054539755511,0.028454010378574163,0.018423710514401143,0.015533033817434611,0.013373733152230697,0.012677184550552015,0.012328910249712674,0.011736843938285793,0.011632361648033992,0.01128408734719465,0.011179605056942848,0.011075122766691045,0.010274091874760562,0.009786507853585483,0.009473060982830076,0.008149618639640581,0.007557552328213701,0.007487897468045833,0.007244105457458294,0.006965486016786821,0.006686866576115349,0.0065823842858635465,0.006268937415108139,0.005990317974436666,0.005955490544352732,0.00525894194267405,0.005154459652422247"
4,"issue,parliament,minister,debate,pap,question,lim_tean,public,law,turn,fact,government,action,real,answer,concern,challenge,wrong,hear,dare,mistake,hold,voice,word,hope,blame,watch,fail,leong,mp","0.028360413589364846,0.02389627441326112,0.022451994091580503,0.020777941900541604,0.017068767438043655,0.0167076973576235,0.016182504513376005,0.014409978664040703,0.012834400131298211,0.01171836533727228,0.011619891678975874,0.011061874281962909,0.010996225176431972,0.010864926965370097,0.009486295749220417,0.008665681930083702,0.00850155916625636,0.008304611849663548,0.008107664533070737,0.008074839980305268,0.00781224355818152,0.007713769899885114,0.0073198752666994915,0.007254226161168554,0.007188577055637617,0.006958805186279337,0.006893156080748399,0.006860331527982932,0.006729033316921057,0.006696208764155588"
5,"china,problem,chinese,racist,point,race,understand,group,bear,racism,kind,prc,learn,head,malay,malaysian,mention,state,english,nationality,correct,minority,majority,rape,mind,bos,culture,xenophobic,excuse,politician","0.030953046394633872,0.023476802683063163,0.02305757406372275,0.022673281162660704,0.015476523197316936,0.015441587479038569,0.014463387367244271,0.01369480156512018,0.012122694242593627,0.009572386808272777,0.0077906651760760205,0.0077557294577976525,0.007091950810508664,0.006952207937395193,0.006882336500838457,0.006602850754611515,0.006428172163219676,0.00635830072666294,0.006148686416992733,0.006008943543879262,0.006008943543879262,0.006008943543879262,0.005974007825600894,0.0057643935159306875,0.005694522079373952,0.005694522079373952,0.005624650642817216,0.005554779206260481,0.00541503633314701,0.0052054220234768024"
6,"support,sell,happen,sad,truth,white,listen,news,wrong,hand,st,ang,totally,guess,late,word,lie,umbrage,son,fool,traitor,plan,ceo,write,fact,sue,black,stand,sph,deserve","0.01628043414491053,0.012540334408917572,0.012026987386330302,0.011440305074801994,0.010780287474332649,0.010413611029627456,0.010340275740686418,0.00982692871809915,0.008616896450572016,0.007993546494573189,0.007810208272220592,0.007076855382810208,0.006710178938105016,0.006563508360222939,0.006416837782340862,0.006196831915517747,0.006160164271047228,0.006013493693165151,0.005866823115283074,0.005830155470812555,0.005830155470812555,0.005646817248459959,0.005646817248459959,0.005463479026107363,0.005280140803754767,0.00513347022587269,0.0050968025814021704,0.004986799647990613,0.004986799647990613,0.004766793781167498"
7,"covid,fake,import,virus,die,stop,degree,open,blame,ban,stay,variant,happen,risk,spread,close,flight,place,infect,nurse,safe,news,cb,eye,check,control,start,hospital,home,situation","0.028126621691748833,0.02580868361875108,0.020723058294412733,0.016017989967133713,0.012627573084241481,0.012489188721674451,0.011555094274346998,0.011174537277287667,0.010620999827019547,0.009652309289050337,0.008960387476215187,0.008891195294931672,0.008718214841722886,0.00837225393530531,0.008199273482096522,0.008130081300813009,0.00781871648503719,0.007576543850544889,0.007023006400276768,0.007023006400276768,0.006815429856426224,0.006607853312575679,0.006607853312575679,0.006573257221933922,0.006538661131292164,0.006400276768725134,0.0063310845874416195,0.006296488496799862,0.006123508043591074,0.006123508043591074"
8,"pap,opposition,party,general_election,lose,prime_minister,power,long,rule,win,election,lee_kuan_yew,system,lee_hsien_loong,voter,fight,general,minister,wp,team,engineer,expect,follow,face,mp,chance,support,political,change,continue","0.035898293743727,0.026296420207427233,0.024824355971896955,0.01756440281030445,0.016995650719304114,0.016125794580127133,0.01522248243559719,0.013348946135831381,0.012244897959183673,0.011943793911007026,0.0117096018735363,0.00973569755771161,0.009702241552358649,0.009702241552358649,0.009468049514887923,0.009133489461358314,0.00899966543994647,0.008665105386416861,0.00853128136500502,0.008464369354299096,0.008464369354299096,0.008029441284710606,0.007694881231180997,0.007326865172298427,0.007293409166945467,0.007126129140180662,0.006958849113415858,0.00665774506523921,0.006423553027768485,0.006189360990297758"
9,"country,singaporean,government,world,foreigner,talent,foreign,future,singapore,policy,nation,serve,protect,leader,economy,class,happy,national_service,generation,home,reason,place,business,interest,smart,fellow,respect,young,build,ownself","0.0814129202871175,0.06302732653318222,0.054747512907694244,0.0269802291902783,0.02342274272761617,0.01904671955673089,0.016780002518574488,0.01360030222893842,0.012403979347689208,0.012120639717919657,0.01152247827729505,0.01152247827729505,0.011081727742097973,0.0106724593879864,0.00916131469588213,0.00809092053897494,0.00702052638206775,0.006989044200982244,0.00680015111446921,0.006705704571212693,0.006485329303614154,0.006422364941443143,0.006076060949502582,0.00601309658733157,0.005918650044075054,0.005855685681904042,0.005320488603450447,0.0050686311547664025,0.005005666792595391,0.004974184611509886"
