topic_no,topic_words,word_weights
0,"vote,pap,ceca,singapore,government,come,singaporean,citizen,useless,country,india,minister,need,right,blame,change,look,happen,lee_hsien_loong,thank,care,soon,prime_minister,general_election,clown,white,vto,indian,world,way","0.0939695550351288,0.09045667447306792,0.07464871194379391,0.06937939110070257,0.060011709601873534,0.052107728337236536,0.0506440281030445,0.03015222482435597,0.03015222482435597,0.028688524590163935,0.02781030444964871,0.027517564402810304,0.02459016393442623,0.022833723653395786,0.022540983606557378,0.022540983606557378,0.021662763466042154,0.02078454332552693,0.01990632318501171,0.01990632318501171,0.01990632318501171,0.01990632318501171,0.019613583138173303,0.019613583138173303,0.019613583138173303,0.019320843091334895,0.018149882903981264,0.017857142857142856,0.017857142857142856,0.017857142857142856"
1,"singapore,india,fake,degree,indian,ceca,job,come,singaporean,buy,local,certificate,university,country,work,government,need,free_trade,condo,check,look,talent,world,com,new,cert,maybe,rape,mohamad,national","0.103125,0.09010416666666667,0.08229166666666667,0.07447916666666667,0.06822916666666666,0.059375,0.043229166666666666,0.0328125,0.03125,0.030208333333333334,0.027083333333333334,0.026041666666666668,0.024479166666666666,0.023958333333333335,0.0234375,0.021875,0.021354166666666667,0.019791666666666666,0.018229166666666668,0.018229166666666668,0.017708333333333333,0.017708333333333333,0.0171875,0.016666666666666666,0.016145833333333335,0.015625,0.015104166666666667,0.015104166666666667,0.015104166666666667,0.0140625"
2,"singapore,india,covid,come,country,case,virus,indian,ceca,government,import,flight,ban,variant,stop,citizen,infect,allow,singaporean,need,spread,new,stay,work,open,world,china,pap,high,news","0.09717749573782913,0.09452547831028604,0.06421670770979353,0.05910210267096041,0.050956620572078046,0.04811517332828187,0.046789164614510326,0.038075393066868725,0.03542337563932563,0.03466565637431332,0.031824209130517145,0.029361621519227128,0.026330744459177876,0.02595188482667172,0.025383595377912484,0.023678727031634778,0.0234892972153817,0.022163288501610152,0.02140556923659784,0.02121613942034476,0.020837279787838607,0.01932184125781398,0.01932184125781398,0.0191324114415609,0.01837469217654859,0.017806402727789356,0.017238113279030118,0.016859253646523964,0.015912104565258572,0.015343815116499336"
3,"pap,news,umbrage,look,sph,singapore,st,read,write,fake,money,ceca,general,ceo,song,ask,report,word,indian,try,old,mohd,long,buy,government,need,wrong,thank,lose,maybe","0.054441260744985676,0.050620821394460364,0.050620821394460364,0.049665711556829036,0.04680038204393505,0.04393505253104107,0.04393505253104107,0.04202483285577841,0.03724928366762178,0.03629417382999045,0.034383954154727794,0.034383954154727794,0.034383954154727794,0.033428844317096466,0.030563514804202482,0.029608404966571154,0.029608404966571154,0.029608404966571154,0.02865329512893983,0.025787965616045846,0.025787965616045846,0.024832855778414518,0.02387774594078319,0.02387774594078319,0.022922636103151862,0.022922636103151862,0.022922636103151862,0.022922636103151862,0.021967526265520534,0.021967526265520534"
4,"indian,singapore,singaporean,india,ceca,country,chinese,local,racist,china,come,race,job,malay,need,look,tell,government,foreigner,work,citizen,racism,pap,prc,right,bear,ask,foreign,english,majority","0.10309744517295953,0.09541035496269501,0.07506217499434772,0.06986208455799231,0.06692290300700882,0.04860954103549627,0.04634863215012435,0.04453990504182682,0.043183359710603664,0.03753108749717386,0.03730499660863667,0.02893963373276057,0.025774361293239883,0.022835179742256385,0.019443816414198508,0.019217725525661315,0.018991634637124125,0.01876554374858693,0.017861180194438164,0.01740899841736378,0.016504634863215014,0.016504634863215014,0.016052453086140627,0.014695907754917477,0.014243725977843093,0.014017635089305902,0.012887180646619941,0.01266108975808275,0.01266108975808275,0.01266108975808275"
5,"singaporean,singapore,ceca,job,pap,citizen,vote,government,country,local,foreigner,pay,come,money,need,new,free_trade,india,care,work,indian,lose,foreign,high,future,benefit,serve,live,citizenship,salary","0.09286103542234332,0.06920980926430517,0.0649591280653951,0.06365122615803814,0.061471389645776565,0.05591280653950954,0.054168937329700274,0.05079019073569482,0.03880108991825613,0.033678474114441415,0.03237057220708447,0.0311716621253406,0.030844686648501363,0.02997275204359673,0.02975476839237057,0.02975476839237057,0.025177111716621254,0.021798365122615803,0.01787465940054496,0.01754768392370572,0.017111716621253405,0.01667574931880109,0.016130790190735694,0.014822888283378747,0.014604904632152589,0.014059945504087193,0.013950953678474114,0.013732970027247956,0.013623978201634877,0.013514986376021798"
6,"pap,ceca,vote,singaporean,opposition,debate,parliament,party,need,lim_tean,singapore,government,come,citizen,thank,election,issue,general_election,hope,minister,way,support,change,question,right,challenge,public,look,mp,wp","0.07878270762229807,0.0745164960182025,0.06171786120591581,0.055745164960182024,0.05261660978384528,0.05133674630261661,0.04664391353811149,0.04536405005688282,0.0406712172923777,0.03811149032992037,0.036262798634812285,0.035551763367463025,0.03284982935153584,0.025881683731513082,0.025455062571103526,0.024459613196814563,0.0237485779294653,0.02218430034129693,0.02218430034129693,0.02104664391353811,0.020904436860068258,0.02033560864618885,0.01962457337883959,0.019055745164960183,0.018486916951080772,0.01834470989761092,0.018060295790671217,0.017064846416382253,0.016496018202502846,0.016496018202502846"
7,"india,singapore,come,country,china,world,ceca,mean,singaporean,news,pap,indian,rape,covid,woman,mother,wife,right,child,thank,life,soon,rapist,tell,way,blame,father,cow,sue,cow_dung","0.09034267912772585,0.06749740394600208,0.055036344755970926,0.04880581516095535,0.04569055036344756,0.03946002076843198,0.037383177570093455,0.036344755970924195,0.03426791277258567,0.03426791277258567,0.032191069574247146,0.032191069574247146,0.030114226375908618,0.028037383177570093,0.028037383177570093,0.028037383177570093,0.02699896157840083,0.02596053997923157,0.02596053997923157,0.02596053997923157,0.023883696780893044,0.023883696780893044,0.023883696780893044,0.02284527518172378,0.02284527518172378,0.02284527518172378,0.02284527518172378,0.021806853582554516,0.021806853582554516,0.020768431983385256"
8,"ang,low,right,long,thank,singapore,ask,happen,point,david,teo,pap,leong,need,wee,fan,singaporean,chee,sim,paul,chew,wei,black,totally,alex,chin,sam,kong,chia,question","0.06454316848281642,0.055322715842414084,0.050293378038558254,0.040234702430846606,0.039396479463537304,0.037720033528918694,0.03604358759430008,0.03604358759430008,0.03520536462699078,0.03520536462699078,0.03436714165968147,0.03352891869237217,0.03352891869237217,0.03269069572506287,0.03269069572506287,0.03101424979044426,0.030176026823134954,0.030176026823134954,0.027661357921207042,0.027661357921207042,0.027661357921207042,0.026823134953897737,0.025984911986588432,0.025984911986588432,0.025146689019279127,0.025146689019279127,0.025146689019279127,0.025146689019279127,0.025146689019279127,0.024308466051969825"
9,"ceca,abolish,sign,singapore,india,agreement,singaporean,support,bank,petition,cancel,db,government,country,need,group,come,share,benefit,fully,hmm,lim_tean,thank,deal,account,indian,pap,post,right,video","0.2546396201985326,0.11998273629693569,0.06258092360811394,0.05697022011221407,0.05567544238239102,0.04229607250755287,0.03927492447129909,0.03625377643504532,0.02330599913681485,0.0220112214069918,0.02028485110056107,0.01855848079413034,0.01812688821752266,0.017695295640914977,0.01640051791109193,0.01640051791109193,0.01640051791109193,0.015537332757876565,0.015537332757876565,0.0146741476046612,0.0146741476046612,0.014242555028053518,0.013379369874838154,0.013379369874838154,0.011221406991799741,0.010358221838584376,0.010358221838584376,0.010358221838584376,0.009926629261976695,0.009495036685369012"
